tracking_no,postex_remark,our_remark,status
SAMPLE_001,INA,"ADDRESS PROVIDED, REATTEMPT",REATTEMPT
SAMPLE_002,RFD,"REATTEMPT, ALLOW TO OPEN",REATTEMPT
SAMPLE_003,RFD,"REATTEMPT",REATTEMPT
SAMPLE_004,INA,"ADDRESS PROVIDED, REATTEMPT",REATTEMPT
SAMPLE_005,RFD,"REATTEMPT",REATTEMPT
SAMPLE_006,RFD,"REATTEMPT",REATTEMPT
SAMPLE_007,INA,"ADDRESS PROVIDED, REATTEMPT",REATTEMPT
SAMPLE_008,"PAYMENT NOT AVAILABLE","REATTEMPT",REATTEMPT
SAMPLE_009,CNA,"REATTEMPT",REATTEMPT
SAMPLE_010,OPN,"REATTEMPT, ALLOW TO OPEN",REATTEMPT
SAMPLE_011,RFD,"REATTEMPT",REATTEMPT
SAMPLE_012,RFD,"REATTEMPT",REATTEMPT
SAMPLE_013,OPN,"REATTEMPT, ALLOW TO OPEN",REATTEMPT
SAMPLE_014,OPN,"REATTEMPT, ALLOW TO OPEN",REATTEMPT
SAMPLE_015,RFD,"REATTEMPT",REATTEMPT
SAMPLE_016,RFD,"REATTEMPT",REATTEMPT
SAMPLE_017,RFD,"REATTEMPT",REATTEMPT
SAMPLE_018,RFD,"REATTEMPT",REATTEMPT
SAMPLE_019,HOLD,"REATTEMPT",REATTEMPT
SAMPLE_020,RFD,"REATTEMPT",REATTEMPT
SAMPLE_021,CNA,"REATTEMPT",REATTEMPT
SAMPLE_022,RFD,"FAKE ATTEMPT THA REATTEMPT KARWAYN",REATTEMPT
SAMPLE_023,RFD,"FAKE ATTEMPT THA REATTEMPT KARWAYN",REATTEMPT
SAMPLE_024,"RESTRICTED AREA","CANCEL (SELF COLLECT NH KRENGY)",CANCEL
SAMPLE_025,RFD,"CANCEL (NH CHAIYE)",CANCEL
